                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62228,                 2.3634,                 0.9569,                0.81335,                0.71442,                0.80155,                0.55154,                 1.0704,                 2.0262,                 1.2613,                  0.091,                  0.001,                  0.001
                      2,                0.55529,                0.87111,                0.94965,                0.95722,                0.81967,                0.91557,                0.63985,                 1.0176,                 1.0771,                 1.1804,               0.081058,              0.0020584,              0.0020584
                      3,                0.55163,                0.49677,                0.92109,                0.91768,                0.91383,                0.95457,                0.69148,                  1.061,                0.67927,                 1.1961,               0.071073,              0.0030733,              0.0030733
                      4,                0.59085,                0.41374,                0.93766,                0.98175,                0.88202,                0.91605,                0.66897,                 1.0554,                0.71277,                 1.1525,               0.061045,              0.0040446,              0.0040446
                      5,                0.59764,                 0.3832,                 0.9169,                0.96477,                  0.898,                0.93187,                0.69095,                 1.0165,                0.62336,                 1.1144,               0.050972,              0.0049723,              0.0049723
                      6,                0.61327,                0.36142,                0.92716,                0.92713,                0.88525,                0.94881,                 0.7108,                  1.026,                0.61496,                 1.0941,               0.040857,              0.0058565,              0.0058565
                      7,                0.66267,                 0.4086,                0.95968,                0.93292,                0.91202,                0.96883,                0.70865,                 1.0356,                0.59237,                 1.1259,               0.030697,              0.0066971,              0.0066971
                      8,                0.63834,                0.37831,                  0.926,                0.95938,                0.88525,                0.92974,                0.67218,                 1.0949,                0.72926,                 1.1915,               0.020494,              0.0074942,              0.0074942
                      9,                0.65584,                0.43727,                0.92692,                0.94629,                 0.8665,                0.94337,                0.67402,                 1.0904,                0.73974,                 1.1506,               0.010248,              0.0082477,              0.0082477
                     10,                0.66413,                0.43006,                0.93941,                0.92738,                0.83743,                0.92822,                0.63479,                 1.1952,                 0.7337,                  1.234,               0.008218,               0.008218,               0.008218
                     11,                0.63236,                0.39289,                0.93044,                0.96211,                0.83251,                0.92203,                0.64389,                 1.1477,                0.79365,                 1.1772,               0.008218,               0.008218,               0.008218
                     12,                0.67398,                0.40417,                0.95534,                0.96129,                0.81437,                0.92267,                0.65313,                 1.1561,                 0.6583,                 1.1907,                0.00802,                0.00802,                0.00802
                     13,                0.65798,                0.40466,                0.93589,                0.95991,                0.78499,                0.92235,                0.65951,                 1.1288,                0.72078,                 1.1635,               0.007822,               0.007822,               0.007822
                     14,                0.65036,                0.38822,                0.94822,                0.90714,                0.80076,                0.89953,                0.62566,                 1.0986,                0.77029,                 1.1682,               0.007624,               0.007624,               0.007624
                     15,                0.68462,                0.40737,                0.93879,                0.96152,                0.81925,                0.91556,                0.65683,                 1.0733,                0.62777,                 1.1713,               0.007426,               0.007426,               0.007426
                     16,                0.66511,                0.38515,                 0.9448,                0.94501,                0.85246,                0.89803,                0.63173,                 1.0946,                0.70432,                 1.1728,               0.007228,               0.007228,               0.007228
                     17,                0.62708,                0.36631,                0.93573,                0.94229,                0.83607,                0.89706,                0.65074,                 1.0596,                0.69691,                 1.1359,                0.00703,                0.00703,                0.00703
                     18,                0.64972,                0.38624,                0.93894,                0.91028,                0.78689,                0.88836,                0.63873,                 1.0872,                0.80541,                 1.1473,               0.006832,               0.006832,               0.006832
                     19,                0.66652,                0.37989,                0.94131,                0.93835,                0.78689,                0.89324,                0.64409,                 1.0917,                0.88567,                 1.1671,               0.006634,               0.006634,               0.006634
