epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.696,1.59322,3.88903,1.99464,0.5832,0.05618,0.14149,0.07309,1.10877,2.92675,1.66208,0.00328571,0.00328571,0.0704286
2,371.611,0.84072,2.20549,1.39386,0.64911,0.35955,0.20811,0.12346,1.15116,2.57331,1.52453,0.00648799,0.00648799,0.0402975
3,553.337,0.82929,1.90472,1.38757,0.22644,0.44391,0.2969,0.17046,0.93374,2.48767,1.39827,0.00955827,0.00955827,0.0100345
4,735.823,0.86143,1.85912,1.40466,0.30543,0.66592,0.35724,0.22189,0.94688,2.36874,1.37839,0.009406,0.009406,0.009406
5,912.344,0.86164,1.81776,1.39806,0.76465,0.34831,0.33964,0.19795,1.05193,2.27427,1.39214,0.009208,0.009208,0.009208
6,1092.78,0.90916,1.80751,1.43006,0.72083,0.31553,0.32506,0.18595,1.10122,2.33533,1.49877,0.00901,0.00901,0.00901
7,1267.93,0.83941,1.73507,1.37515,0.3796,0.51536,0.41098,0.25947,0.92719,1.97653,1.33586,0.008812,0.008812,0.008812
8,1443.97,0.81885,1.67321,1.35428,0.26045,0.5382,0.36165,0.21829,1.08133,2.00655,1.47064,0.008614,0.008614,0.008614
9,1621.37,0.83278,1.66619,1.37109,0.36352,0.5603,0.41897,0.27317,0.97142,1.88319,1.40943,0.008416,0.008416,0.008416
10,1798.43,0.8234,1.64078,1.37172,0.31203,0.59401,0.42923,0.2727,0.97806,1.93671,1.32616,0.008218,0.008218,0.008218
11,1978.73,0.79532,1.63131,1.33701,0.2978,0.62659,0.41675,0.2524,1.03878,1.96475,1.4573,0.00802,0.00802,0.00802
12,2151.85,0.74475,1.50415,1.31174,0.26461,0.53764,0.34464,0.19086,1.13753,2.11259,1.57929,0.007822,0.007822,0.007822
13,2306.76,0.79214,1.54497,1.33079,0.43785,0.64345,0.48571,0.29413,0.95853,1.77808,1.31999,0.007624,0.007624,0.007624
14,2460.86,0.76321,1.47617,1.30454,0.38978,0.54307,0.43021,0.28082,0.95505,1.79888,1.3984,0.007426,0.007426,0.007426
15,2616.97,0.7443,1.43935,1.30741,0.37923,0.44213,0.37235,0.21675,1.08895,1.98618,1.40747,0.007228,0.007228,0.007228
16,2770.41,0.75805,1.48522,1.30991,0.63186,0.56596,0.59015,0.39429,0.87675,1.60279,1.23351,0.00703,0.00703,0.00703
17,2924.74,0.73117,1.44008,1.30687,0.4751,0.6392,0.59487,0.41672,0.87072,1.50786,1.2728,0.006832,0.006832,0.006832
18,3078.03,0.71928,1.43842,1.28915,0.47521,0.63575,0.55822,0.37735,0.8366,1.53147,1.20097,0.006634,0.006634,0.006634
19,3233.04,0.71294,1.35079,1.27594,0.60019,0.56479,0.65332,0.44552,0.97171,1.44633,1.30386,0.006436,0.006436,0.006436
20,3386.46,0.74532,1.38002,1.31035,0.44336,0.57106,0.46455,0.27729,1.14789,1.92409,1.46806,0.006238,0.006238,0.006238
21,3542.42,0.70209,1.2983,1.27573,0.49029,0.63971,0.59436,0.41203,0.87036,1.52401,1.24145,0.00604,0.00604,0.00604
22,3707.81,0.70819,1.32475,1.28922,0.72302,0.60722,0.73373,0.51101,0.91714,1.30605,1.30125,0.005842,0.005842,0.005842
23,3865.45,0.70075,1.24983,1.29649,0.56537,0.62116,0.657,0.44592,0.97189,1.32426,1.28866,0.005644,0.005644,0.005644
24,4025.72,0.6598,1.27247,1.22332,0.54813,0.66498,0.63338,0.44406,0.83867,1.42776,1.21064,0.005446,0.005446,0.005446
25,4184.07,0.67136,1.27276,1.25453,0.68898,0.66592,0.72285,0.52101,0.82578,1.30486,1.18773,0.005248,0.005248,0.005248
26,4340.53,0.6652,1.2168,1.23913,0.56574,0.68608,0.652,0.44718,0.86151,1.39585,1.20648,0.00505,0.00505,0.00505
27,4496.48,0.64012,1.20759,1.22164,0.65199,0.66395,0.70721,0.49258,0.81252,1.27117,1.18402,0.004852,0.004852,0.004852
28,4656.36,0.64815,1.22676,1.23056,0.61342,0.706,0.73781,0.50909,0.84985,1.24438,1.29847,0.004654,0.004654,0.004654
29,4814.1,0.62906,1.19307,1.22546,0.74845,0.61915,0.73524,0.50636,0.8482,1.26133,1.20732,0.004456,0.004456,0.004456
30,4971.46,0.62591,1.21087,1.22983,0.8086,0.64048,0.76793,0.55537,0.7831,1.19829,1.12411,0.004258,0.004258,0.004258
31,5128.55,0.62777,1.19196,1.23877,0.52458,0.69794,0.55922,0.39771,0.8138,1.60867,1.19649,0.00406,0.00406,0.00406
32,5286.79,0.60202,1.12416,1.20817,0.63165,0.63071,0.67244,0.4922,0.77038,1.39821,1.16904,0.003862,0.003862,0.003862
33,5441.61,0.6408,1.16747,1.22524,0.73252,0.65393,0.76091,0.55995,0.83759,1.1806,1.2132,0.003664,0.003664,0.003664
34,5602.87,0.59884,1.10902,1.19836,0.82481,0.60393,0.7757,0.54695,0.80475,1.11029,1.21782,0.003466,0.003466,0.003466
35,5762.88,0.5926,1.1174,1.18457,0.8033,0.61536,0.7627,0.56057,0.80092,1.18629,1.16128,0.003268,0.003268,0.003268
36,5924.51,0.58226,1.07518,1.1851,0.72307,0.72292,0.77851,0.56148,0.77723,1.12203,1.12763,0.00307,0.00307,0.00307
37,6084.08,0.57127,1.06284,1.18579,0.7978,0.62845,0.74315,0.52731,0.79597,1.27672,1.14795,0.002872,0.002872,0.002872
38,6247.5,0.54056,1.04584,1.16672,0.60433,0.67554,0.69118,0.46905,0.90386,1.35323,1.22007,0.002674,0.002674,0.002674
39,6409.57,0.55436,0.99926,1.17058,0.87983,0.6485,0.81432,0.57747,0.76682,1.04368,1.13203,0.002476,0.002476,0.002476
40,6569.04,0.5568,1.00163,1.16698,0.72454,0.70468,0.79927,0.59519,0.75302,1.05027,1.12178,0.002278,0.002278,0.002278
41,6720.85,0.57511,1.0576,1.22213,0.75001,0.6625,0.79349,0.55749,0.83633,1.18293,1.17845,0.00208,0.00208,0.00208
42,6873.45,0.54175,0.93623,1.20082,0.82498,0.68337,0.83221,0.61816,0.76156,1.02726,1.10423,0.001882,0.001882,0.001882
43,7024.97,0.54472,0.92464,1.19941,0.72946,0.72783,0.81909,0.60739,0.75417,1.01631,1.12586,0.001684,0.001684,0.001684
44,7176.59,0.50215,0.89959,1.15911,0.76279,0.68082,0.81778,0.59795,0.77595,1.06272,1.14032,0.001486,0.001486,0.001486
45,7327.36,0.51628,0.88862,1.17522,0.73929,0.74612,0.82997,0.61875,0.75517,1.01387,1.1362,0.001288,0.001288,0.001288
46,7478.09,0.48606,0.83166,1.14691,0.70061,0.76545,0.83466,0.62857,0.72665,0.98663,1.11684,0.00109,0.00109,0.00109
47,7628.74,0.48377,0.78757,1.15326,0.63222,0.85284,0.82304,0.61335,0.74126,1.01233,1.12488,0.000892,0.000892,0.000892
48,7779.53,0.47067,0.79647,1.1517,0.74458,0.69434,0.80102,0.61149,0.74955,1.02767,1.14945,0.000694,0.000694,0.000694
49,7929.89,0.44518,0.77235,1.12428,0.73439,0.70605,0.80432,0.61306,0.72797,1.01616,1.12909,0.000496,0.000496,0.000496
50,8080.88,0.43685,0.75174,1.10761,0.73997,0.75002,0.81455,0.6157,0.74116,0.99503,1.12626,0.000298,0.000298,0.000298
