epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.56,0.96992,2.09936,1.50366,0.56174,0.61395,0.54066,0.31361,1.0764,1.84421,1.74889,0.0032381,0.0032381,0.0708571
2,5053.43,0.75171,1.23936,1.33876,0.55097,0.47899,0.45652,0.2205,1.30499,2.13717,1.71309,0.00624614,0.00624614,0.0405319
3,8588.35,0.68444,1.19432,1.28124,0.61259,0.68067,0.68534,0.38514,1.25485,1.41056,1.58555,0.00892419,0.00892419,0.00987657
4,12326.2,0.75837,1.23054,1.2965,0.31968,0.39496,0.30074,0.10917,1.726,2.59427,2.15797,0.008515,0.008515,0.008515
5,18667.8,0.72722,1.04417,1.26598,0.40785,0.61345,0.47402,0.25528,1.46571,1.75026,1.83637,0.00802,0.00802,0.00802
6,19162.4,0.75308,1.0289,1.30424,0.68487,0.6392,0.67898,0.36344,1.27076,1.45667,1.74613,0.007525,0.007525,0.007525
7,19670.3,0.71663,1.02499,1.27786,0.64954,0.76318,0.76843,0.44097,1.15444,1.33528,1.5558,0.00703,0.00703,0.00703
8,20179.6,0.71766,0.98588,1.29579,0.60132,0.53782,0.54947,0.27988,1.36149,1.70621,1.81279,0.006535,0.006535,0.006535
9,21988.2,0.71241,1.02177,1.30135,0.53309,0.76471,0.65535,0.38888,1.36328,1.50888,1.68104,0.00604,0.00604,0.00604
10,22503.1,0.69688,0.95107,1.2851,0.68463,0.65546,0.70526,0.49701,0.9651,1.23655,1.36685,0.005545,0.005545,0.005545
11,25392.5,0.75612,1.02713,1.39459,0.6546,0.67227,0.61216,0.3438,1.22289,1.60761,1.854,0.00505,0.00505,0.00505
12,25844.9,0.71614,0.92721,1.37188,0.70956,0.65696,0.72262,0.41818,1.17185,1.2729,1.49962,0.004555,0.004555,0.004555
13,26303.7,0.70846,0.89025,1.32263,0.77548,0.80672,0.84806,0.56671,0.86787,1.09612,1.23909,0.00406,0.00406,0.00406
14,28818.8,0.70588,0.85179,1.35073,0.67581,0.73576,0.78295,0.53195,0.9203,1.18491,1.34696,0.003565,0.003565,0.003565
15,29440.1,0.62451,0.83374,1.27129,0.64716,0.88235,0.80028,0.55908,0.88604,1.02119,1.29209,0.00307,0.00307,0.00307
16,30064.5,0.61644,0.78156,1.24456,0.78464,0.76471,0.83932,0.59682,0.88585,0.91361,1.27081,0.002575,0.002575,0.002575
17,33709.1,0.57015,0.71273,1.20731,0.86445,0.77311,0.86397,0.63222,0.81955,0.9042,1.19898,0.00208,0.00208,0.00208
18,34385.2,0.55359,0.68723,1.20976,0.88171,0.78992,0.89658,0.65999,0.83014,0.87357,1.19252,0.001585,0.001585,0.001585
19,34987.5,0.53057,0.64285,1.18539,0.74397,0.85464,0.83857,0.61833,0.86725,0.89957,1.24141,0.00109,0.00109,0.00109
20,35514.5,0.51249,0.61339,1.17438,0.81529,0.7563,0.84577,0.62122,0.85917,0.91684,1.25491,0.000595,0.000595,0.000595
